Date,State,Region,Confirmed,Deaths,Recovered
4/29/2020,,UK,165221,26097,0
4/29/2020,,Uganda,81,0,52
4/29/2020,,Ukraine,9866,250,1103
4/29/2020,,United Arab Emirates,11929,98,2329
4/29/2020,,Uruguay,630,15,412
4/29/2020,,Uzbekistan,2002,9,1096
4/29/2020,,Venezuela,331,10,142
4/29/2020,,Vietnam,270,0,222
4/29/2020,,West Bank and Gaza,344,2,71
4/29/2020,,Western Sahara,6,0,5
4/29/2020,,Yemen,6,0,1
4/29/2020,,Zambia,97,3,54
4/29/2020,,Zimbabwe,32,4,5
4/29/2020,Alabama,US,6912,256,0
4/29/2020,Alaska,US,355,9,0
4/29/2020,Alberta,Canada,5165,87,0
4/29/2020,Anguilla,UK,3,0,3
4/29/2020,Anhui,Mainland China,991,6,985
4/29/2020,Arizona,US,7209,308,0
4/29/2020,Arkansas,US,3193,57,0
4/29/2020,Aruba,Netherlands,100,2,73
4/29/2020,Australian Capital Territory,Australia,106,3,101
4/29/2020,Beijing,Mainland China,593,9,542
4/29/2020,Bermuda,UK,111,6,48
4/29/2020,"Bonaire, Sint Eustatius and Saba",Netherlands,5,0,0
4/29/2020,British Columbia,Canada,2087,109,0
4/29/2020,British Virgin Islands,UK,6,1,3
4/29/2020,California,US,48747,1946,0
4/29/2020,Cayman Islands,UK,73,1,10
4/29/2020,Channel Islands,UK,537,38,386
4/29/2020,Chongqing,Mainland China,579,6,573
4/29/2020,Colorado,US,14758,766,0
4/29/2020,Connecticut,US,26767,2169,0
4/29/2020,Curacao,Netherlands,16,1,13
4/29/2020,Delaware,US,4655,144,0
4/29/2020,Diamond Princess cruise ship,Canada,0,1,0
4/29/2020,Diamond Princess cruise ship,US,49,0,0
4/29/2020,District of Columbia,US,4106,205,0
4/29/2020,Falkland Islands (Malvinas),UK,13,0,11
4/29/2020,Faroe Islands,Denmark,187,0,181
4/29/2020,Florida,US,33193,1218,0
4/29/2020,French Guiana,France,125,1,93
4/29/2020,French Polynesia,France,58,0,50
4/29/2020,Fujian,Mainland China,355,1,353
4/29/2020,Gansu,Mainland China,139,2,137
4/29/2020,Georgia,US,25775,1101,0
4/29/2020,Gibraltar,UK,141,0,131
4/29/2020,Grand Princess,Canada,13,0,0
4/29/2020,Grand Princess,US,103,3,0
4/29/2020,Greenland,Denmark,11,0,11
4/29/2020,Guadeloupe,France,149,12,82
4/29/2020,Guam,US,141,5,0
4/29/2020,Guangdong,Mainland China,1588,8,1557
4/29/2020,Guangxi,Mainland China,254,2,252
4/29/2020,Guizhou,Mainland China,147,2,145
4/29/2020,Hainan,Mainland China,168,6,162
4/29/2020,Hawaii,US,613,16,0
4/29/2020,Hebei,Mainland China,328,6,318
4/29/2020,Heilongjiang,Mainland China,939,13,587
4/29/2020,Henan,Mainland China,1276,22,1254
4/29/2020,Hong Kong,Hong Kong,1037,4,830
4/29/2020,Hubei,Mainland China,68128,4512,63616
4/29/2020,Hunan,Mainland China,1019,4,1015
4/29/2020,Idaho,US,1952,60,0
4/29/2020,Illinois,US,50358,2215,0
4/29/2020,Indiana,US,17182,964,0
4/29/2020,Inner Mongolia,Mainland China,200,1,150
4/29/2020,Iowa,US,6843,148,0
4/29/2020,Isle of Man,UK,313,21,258
4/29/2020,Jiangsu,Mainland China,653,0,648
4/29/2020,Jiangxi,Mainland China,937,1,936
4/29/2020,Jilin,Mainland China,111,1,99
4/29/2020,Kansas,US,3839,134,0
4/29/2020,Kentucky,US,4537,234,0
4/29/2020,Liaoning,Mainland China,146,2,143
4/29/2020,Louisiana,US,27660,1845,0
4/29/2020,Macau,Macau,45,0,34
4/29/2020,Maine,US,1056,52,0
4/29/2020,Manitoba,Canada,275,6,0
4/29/2020,Martinique,France,175,14,83
4/29/2020,Maryland,US,20849,1078,0
4/29/2020,Massachusetts,US,60265,3405,0
4/29/2020,Mayotte,France,460,4,235
4/29/2020,Michigan,US,40399,3670,0
4/29/2020,Minnesota,US,4644,319,0
4/29/2020,Mississippi,US,6569,250,0
4/29/2020,Missouri,US,7660,338,0
4/29/2020,Montana,US,451,16,0
4/29/2020,Montserrat,UK,11,1,2
4/29/2020,Nebraska,US,3851,56,0
4/29/2020,Nevada,US,4934,230,0
4/29/2020,New Brunswick,Canada,118,0,0
4/29/2020,New Caledonia,France,18,0,17
4/29/2020,New Hampshire,US,2058,60,0
4/29/2020,New Jersey,US,116365,6771,0
4/29/2020,New Mexico,US,3213,112,0
4/29/2020,New South Wales,Australia,3016,40,2284
4/29/2020,New York,US,299691,23477,0
4/29/2020,Newfoundland and Labrador,Canada,258,3,0
4/29/2020,Ningxia,Mainland China,75,0,75
4/29/2020,North Carolina,US,10180,382,0
4/29/2020,North Dakota,US,1033,19,0
4/29/2020,Northern Mariana Islands,US,14,2,0
4/29/2020,Northern Territory,Australia,28,0,25
4/29/2020,Northwest Territories,Canada,5,0,0
4/29/2020,Nova Scotia,Canada,935,28,0
4/29/2020,Ohio,US,17303,937,0
4/29/2020,Oklahoma,US,3473,214,0
4/29/2020,Ontario,Canada,16978,1153,0
4/29/2020,Oregon,US,2446,101,0
4/29/2020,Pennsylvania,US,46327,2373,0
4/29/2020,Prince Edward Island,Canada,27,0,0
4/29/2020,Puerto Rico,US,1433,86,0
4/29/2020,Qinghai,Mainland China,18,0,18
4/29/2020,Quebec,Canada,26610,1762,0
4/29/2020,Queensland,Australia,1033,6,943
4/29/2020,Recovered,Canada,0,0,20327
4/29/2020,Recovered,US,0,0,120720
4/29/2020,Reunion,France,420,0,300
4/29/2020,Rhode Island,US,8247,251,0
4/29/2020,Saint Barthelemy,France,6,0,6
4/29/2020,Saint Pierre and Miquelon,France,1,0,0
4/29/2020,Saskatchewan,Canada,383,6,0
4/29/2020,Shaanxi,Mainland China,306,3,253
4/29/2020,Shandong,Mainland China,787,7,772
4/29/2020,Shanghai,Mainland China,647,7,597
4/29/2020,Shanxi,Mainland China,197,0,164
4/29/2020,Sichuan,Mainland China,561,3,558
4/29/2020,Sint Maarten,Netherlands,75,13,33
4/29/2020,South Australia,Australia,438,4,420
4/29/2020,South Carolina,US,5882,231,0
4/29/2020,South Dakota,US,2373,13,0
4/29/2020,St Martin,France,38,3,24
4/29/2020,Tasmania,Australia,219,12,144
4/29/2020,Tennessee,US,10366,195,0
4/29/2020,Texas,US,27257,754,0
4/29/2020,Tianjin,Mainland China,190,3,183
4/29/2020,Tibet,Mainland China,1,0,1
4/29/2020,Turks and Caicos Islands,UK,12,1,5
4/29/2020,Utah,US,4497,45,0
4/29/2020,Vermont,US,862,47,0
4/29/2020,Victoria,Australia,1361,18,1291
4/29/2020,Virgin Islands,US,57,4,0
4/29/2020,Virginia,US,14962,522,0
4/29/2020,Washington,US,14070,801,0
4/29/2020,West Virginia,US,1110,38,0
4/29/2020,Western Australia,Australia,551,8,507
4/29/2020,Wisconsin,US,6520,308,0
4/29/2020,Wyoming,US,545,7,0
4/29/2020,Xinjiang,Mainland China,76,3,73
4/29/2020,Yukon,Canada,11,0,0
4/29/2020,Yunnan,Mainland China,185,2,181
4/29/2020,Zhejiang,Mainland China,1268,1,1263
